Crop;Approx_domestication;First_domestication_location;Soil_depth;Soil_nutrients;Preferred_rainfall;Temperature_range_C;Insolation;Preferred_soil_texture;Yield_low_t_ha;Yield_avg_t_ha;Yield_high_t_ha;Nitrogen Fixing (yes/no);Fibrous (yes/no);Spice (yes/no);Used for brewing tea/coffee/drinks;Fermented for beer/wine (yes/no);Sources (URLs), separate with `|` for parsing
Zizania / Wild rice (cultivated varieties of Zizania palustris & Z. latifolia);Traditional cultivation;North America & East Asia;Shallow (aquatic);Medium–rich;1000–3000 mm/yr;10–25;Medium;Muddy, organic aquatic soils;0.2;1;4;;;;;;
Camelina (Camelina sativa — industrial oilseed);Cultivated historically;Europe/Asia;Shallow–medium;Low–medium;300–800 mm/yr;0–25;Medium;Light loam;0.2;0.6;1.5;;;;;;
Einkorn wheat (Triticum monococcum) (ancient grain distinct from emmer);~12000 BP;Fertile Crescent;Shallow–medium;Low–medium;200–700 mm/yr;0–25;Medium;Loam;0.2;0.8;2;;;;;;
Fonio (already listed earlier but adding specific white fonio Digitaria exilis cultivar entry);Domesticated;West Africa;Shallow;Low–medium;200–800 mm/yr;20–35;High;Light sandy loam;0.1;0.6;1.5;;;;;;
Milium / Proso millet (Panicum miliaceum);Domesticated;East Asia / Eurasia;Shallow;Low–medium;250–600 mm/yr;15–30;High;Sandy loam;0.2;0.9;2;;;;;;
Little millet (Panicum sumatrense);Domesticated;Indian subcontinent;Shallow;Low–medium;300–800 mm/yr;15–30;High;Sandy loam;0.2;0.7;1.8;;;;;;
Kodo millet (Paspalum scrobiculatum);Domesticated;Indian subcontinent;Shallow;Low–medium;300–900 mm/yr;15–35;High;Light soils;0.1;0.6;1.5;;;;;;
Buckwheat tartary (Fagopyrum tataricum — Tartary buckwheat);Domesticated;Himalayan/Central Asia;Shallow;Low–medium;400–1200 mm/yr;0–25;Medium;Light soils, mountain terraces;0.2;0.8;2;;;;;;
Sainfoin (Onobrychis viciifolia — forage/soil-improving legume);Cultivated historically;Mediterranean/Central Asia;Medium;Low–medium;300–800 mm/yr;0–30;Medium;Loam, calcareous;1;3;8 (forage t/ha);;;;;;
Lupin (Lupinus spp. — grain lupin, green manure);Domesticated;Mediterranean/Andean centers;Shallow–medium;Low–medium;300–900 mm/yr;5–30;High;Sandy loam;0.3;1.2;3;;;;;;
Bambara groundnut (Vigna subterranea);Domesticated;West Africa;Shallow;Low–medium;300–800 mm/yr;20–35;High;Sandy loam;0.2;0.9;2;;;;;;
Horse gram (Macrotyloma uniflorum);Domesticated;Indian subcontinent;Shallow;Low–medium;300–800 mm/yr;15–35;High;Sandy loam;0.2;0.7;1.5;;;;;;
Mung bean (Vigna radiata);Domesticated;Indian subcontinent;Shallow;Low–medium;400–1000 mm/yr;15–35;High;Loam;0.2;0.8;2;;;;;;
Adzuki bean (Vigna angularis);Domesticated;East Asia;Shallow;Medium;600–1200 mm/yr;10–30;High;Loam;0.3;1;2.5;;;;;;
Tepary bean (Phaseolus acutifolius);Domesticated;Southwestern North America;Shallow;Low–medium;150–600 mm/yr;15–40;High;Sandy loam;0.1;0.5;1.2;;;;;;
Yam bean / Jicama (Pachyrhizus erosus);Domesticated;Mexico / Central America;Shallow;Medium;800–1500 mm/yr;18–30;High;Loam;5;12;30;;;;;;
Lablab / Hyacinth bean (Lablab purpureus);Domesticated;Africa/Indian subcontinent;Shallow–medium;Medium;600–1400 mm/yr;15–30;High;Loam;1;4;10;;;;;;
Ceylon spinach / Malabar spinach (Basella alba) (leafy vegetable cultivated in tropics);Cultivated historically;South/Southeast Asia;Shallow;Medium;1000–2500 mm/yr;18–35;High;Loam;5;15;35;;;;;;
Pak choi / Bok choy (Brassica rapa subsp. chinensis);Domesticated;China;Shallow;Medium;400–1200 mm/yr;5–25;High;Loam;15;40;100 (leaf t/ha);;;;;;
Chinese cabbage / Napa (Brassica rapa subsp. pekinensis);Domesticated;China;Shallow;Medium;400–1200 mm/yr;5–25;High;Loam;10;30;90;;;;;;
Yardlong bean (Vigna unguiculata subsp. sesquipedalis);Domesticated;Southeast/East Asia;Shallow;Medium;600–1200 mm/yr;15–30;High;Loam;3;8;20;;;;;;
Sea buckthorn (Hippophae rhamnoides) (berries for oil/food);Cultivated;Eurasia (Central/Inner Asia);Shallow;Low–medium;300–800 mm/yr; -5–30;High;Sandy, well-drained;0.5;2;6;;;;;;
Siberian ginseng / Eleuthero (Eleutherococcus senticosus — medicinal);Cultivated;East Asia;Shallow–medium;Low–medium;600–1200 mm/yr; -10–25;Low–Medium;Loam;0.2;0.8;2;;;;;;
Schisandra (Schisandra chinensis — medicinal berry);Cultivated;Northeast Asia;Shallow;Medium;800–1500 mm/yr;0–25;Low–Medium;Loam, forest soils;0.2;0.8;2;;;;;;
Goldenseal (Hydrastis canadensis — medicinal);Cultivated/managed;Eastern North America;Shallow;High organic;800–1400 mm/yr;5–25;Low–Medium;Rich woodland humus;0.05;0.2;0.6;;;;;;
Kohlrabi (Brassica oleracea var. gongylodes);Domesticated;Europe;Shallow;Medium;400–1000 mm/yr;5–25;Medium;Loam;10;30;80;;;;;;
Sunchoke / Jerusalem artichoke (Helianthus tuberosus — tuber crop);Cultivated;North America;Shallow–medium;Low–medium;400–1200 mm/yr; -5–30;High;Loam;10;30;80;;;;;;
Ceylon cinnamon (Cinnamomum zeylanicum) (listed cinnamon);Cultivated;Sri Lanka;Shallow;High;1500–3000 mm/yr;18–30;Medium;Loam;0.2;0.8;2;;;;;;
Longan (Dimocarpus longan);Cultivated;Southeast Asia/China;Deep;Medium–rich;1200–2500 mm/yr;15–30;High;Loam;5;12;30;;;;;;
Lychee (Litchi chinensis);Domesticated;Southern China;Deep;High;1200–2500 mm/yr;15–30;High;Loam;5;12;30;;;;;;
Rambutan (Nephelium lappaceum);Domesticated;Southeast Asia;Deep;High;1500–3000 mm/yr;20–32;High;Loam;5;15;40;;;;;;
Sapodilla / Manilkara zapota;Cultivated;Mesoamerica;Shallow–medium;Medium;1000–2500 mm/yr;20–30;High;Loam;2;8;25;;;;;;
Feijoa / Pineapple guava (Acca sellowiana);Domesticated selections;South America;Shallow–medium;Medium;800–1500 mm/yr;5–25;Medium;Loam;2;6;15;;;;;;
Camu camu (Myrciaria dubia — high-vitamin-C berry);Cultivated;Amazon basin;Shallow–medium;High;2000–4000 mm/yr;20–30;High;Peaty, waterlogged soils;1;4;12;;;;;;
Bitter gourd / Bitter melon (Momordica charantia);Domesticated;Asia;Shallow;Medium;800–1500 mm/yr;20–30;High;Loam;5;12;30;;;;;;
Pawpaw / Papaya (Carica papaya);Domesticated;Tropical Americas;Shallow–medium;Medium–rich;1000–3000 mm/yr;20–30;High;Loam;10;25;80;;;;;;
Durian (Durio zibethinus);Domesticated;Southeast Asia;Deep;High;2000–4000 mm/yr;22–32;High;Deep loam;2;8;30;;;;;;
Mangosteen (Garcinia mangostana);Cultivated;Southeast Asia;Shallow–medium;High;1500–3000 mm/yr;20–32;High;Rich loam;1;4;12;;;;;;
Persimmon (Diospyros kaki);Domesticated;China;Shallow–medium;Medium;600–1500 mm/yr;0–30;Medium;Loam;5;12;30;;;;;;
Loquat (Eriobotrya japonica);Cultivated;China;Shallow–medium;Medium;600–1500 mm/yr;5–25;Medium;Loam;3;10;25;;;;;;
Medlar (Mespilus germanica);Cultivated historically;Western Asia/Europe;Shallow–medium;Low–medium;400–900 mm/yr;0–25;Medium;Loam;1;3;8;;;;;;
Mulberry (listed earlier but adding white mulberry Morus alba specific cultivar for sericulture);Ancient;China;Shallow–medium;Medium;600–1200 mm/yr;5–30;Medium;Loam;5;20;60 (leaf);;;;;;
Sugar apple / Annona squamosa (listed family — sweets);Cultivated;Tropical Americas;Shallow–medium;Medium;1000–2500 mm/yr;18–30;High;Loam;2;8;25;;;;;;
Custard apple (Annona reticulata);Cultivated;Tropics;Shallow–medium;Medium;1000–2500 mm/yr;18–30;High;Loam;2;8;25;;;;;;
Achiote / Annatto (Bixa orellana — spice/coloring);Cultivated;Tropical Americas;Shallow;Low–medium;1000–2000 mm/yr;20–30;High;Loam;0.2;0.8;2;;;;;;
Amaranth leafy types (vegetable amaranth — many species domesticated separately);Cultivated;Americas/Asia/Africa;Shallow;Medium;400–1500 mm/yr;15–30;High;Loam;5;15;40;;;;;;
Mile-a-minute / Kangkong (Ipomoea aquatica — water spinach);Cultivated;Southeast Asia;Shallow;High;1500–3000 mm/yr;20–35;High;Wet loamy soils;10;30;90;;;;;;
Winged bean (Psophocarpus tetragonolobus);Domesticated;New Guinea;Shallow–medium;High;1500–3000 mm/yr;20–35;High;Loam;2;8;25;;;;;;
Coffea liberica (coffee species cultivated locally);Domesticated/selected;West Africa/Philippines;Shallow–medium;Medium;1200–2500 mm/yr;18–28;Medium;Loam;0.3;1;2.5;;;;;;
Jujube (Ziziphus jujuba);Domesticated;China;Shallow–medium;Low–medium;300–800 mm/yr;-10–35;High;Loam, sandy loam;2;6;18;;;;;;
Myrtle (Myrtus communis — cultivated historically for fruits/medicine);Cultivated;Mediterranean;Shallow;Low–medium;400–900 mm/yr;5–35;High;Loam;0.5;2;6;;;;;;
Tamarind (Tamarindus indica);Cultivated historically;Africa/India;Deep;Low–medium;500–1500 mm/yr;15–35;High;Loam;1;4;12;;;;;;
Limeberry / Eugenia spp. (tropical fruits cultivated locally);Cultivated;Tropics;Shallow–medium;Medium;1000–2500 mm/yr;18–32;High;Loam;1;4;12;;;;;;
Naranjilla / Lulo (Solanum quitoense);Cultivated;Andes;Shallow–medium;Medium;1200–2500 mm/yr;10–24;High;Loam;3;8;20;;;;;;
Cherimoya (Annona cherimola);Cultivated;Andes;Shallow–medium;Medium;800–2000 mm/yr;10–25;High;Loam;2;6;18;;;;;;
Breadfruit relatives (Artocarpus spp.) (others like marang, terap);Cultivated;Southeast Asia;Shallow–medium;High;1500–3000 mm/yr;18–30;High;Loam;3;12;40;;;;;;
White lupin (Lupinus albus) (grain/fodder);Domesticated;Mediterranean;Shallow;Low–medium;300–900 mm/yr;5–30;High;Sandy loam;0.4;1.5;3;;;;;;
Marama bean (Tylosema esculentum — tuber/bean, Africa);Cultivated/foraged;Southern Africa;Shallow;Low–medium;200–600 mm/yr;10–35;High;Sandy soils;0.1;0.4;1.2;;;;;;
Canna edulis (Canna indica — achira, edible rhizome);Domesticated;South America;Shallow;Medium;800–2000 mm/yr;15–30;High;Loam;5;15;40;;;;;;
Pawpaw (Asimina triloba — North American pawpaw fruit tree);Managed/cultivated;Eastern North America;Shallow–medium;Medium;800–1200 mm/yr;0–30;Medium;Loam;2;6;15;;;;;;
Muscadine grape (Vitis rotundifolia);Cultivated;Southeastern US;Shallow–medium;Medium;800–1400 mm/yr;10–30;High;Loam;3;10;25;;;;;;
Sorghum sudangrass / forage sorghums (cultivated hybrids);Modern domestication/improvement;Africa;Deep;Medium;400–1200 mm/yr;15–35;High;Loam;10;30;80 (dry matter);;;;;;
Perilla (Perilla frutescens — Asian leaf/oilseed herb);Cultivated;East Asia;Shallow;Medium;600–1400 mm/yr;10–30;Medium;Loam;1;3;8;;;;;;
Shallot (Allium cepa aggregatum types);Cultivated historically;Central/SE Asia;Shallow;Medium;400–1000 mm/yr;5–25;Medium;Loam;5;15;40;;;;;;
Sea kale (Crambe maritima — coastal vegetable);Cultivated historically;Europe coasts;Shallow;Low–medium;300–900 mm/yr;0–25;High;Sandy, coastal soils;1;3;8;;;;;;
Maka (Pandanus tectorius — pandan/banana relative, Pacific agroforestry);Cultivated;Pacific Islands;Shallow–medium;Medium;1200–3000 mm/yr;18–30;High;Loam, coastal;2;8;25;;;;;;
Yam species diversity (Dioscorea alata, D. rotundata, D. cayenensis) — additional species entries;Domesticated;Africa/Asia/Pacific;Medium–deep;Medium;1000–2500 mm/yr;18–30;High;Loam, friable soils;5;12;40;;;;;;
Elecampane (Inula helenium — medicinal root);Cultivated historically;Eurasia;Deep;Medium;600–1400 mm/yr;0–25;Medium;Loam;0.5;2;6;;;;;;
Teasel (Dipsacus fullonum — historically cultivated for wool carding, now niche);Cultivated historically;Europe;Shallow;Low–medium;400–1000 mm/yr;5–25;High;Sandy loam;0.2;0.8;2;;;;;;
Cordyline (Cordyline fruticosa — traditional Pacific root/leaf crop);Cultivated;Pacific Islands;Shallow–medium;Medium;1200–3000 mm/yr;18–30;High;Loam;2;8;20;;;;;;
Noni (Morinda citrifolia — medicinal/food);Cultivated;Pacific/SE Asia;Shallow–medium;Medium;1000–3000 mm/yr;18–30;High;Loam;1;4;12;;;;;;
Chaya (Cnidoscolus aconitifolius — leaf vegetable);Cultivated;Mesoamerica;Shallow–medium;Medium;800–2000 mm/yr;18–35;High;Loam;6;18;50;;;;;;
Mamey sapote (Pouteria sapota);Cultivated;Mesoamerica;Shallow–medium;Medium;1200–2500 mm/yr;18–30;High;Loam;3;10;30;;;;;;
Black sapote (Diospyros digyna);Cultivated;Mexico/Central America;Shallow–medium;Medium;1000–2500 mm/yr;18–30;High;Loam;3;10;25;;;;;;
Nectarine (Prunus persica var. nucipersica — peach variant);Domesticated;China;Shallow–medium;Medium;600–1200 mm/yr;0–30;High;Loam;10;25;50;;;;;;
Apricot (Prunus armeniaca);Domesticated;Central Asia;Shallow–medium;Low–medium;300–800 mm/yr; -5–35;High;Loam;6;15;35;;;;;;
Goji berry / Wolfberry (Lycium barbarum);Cultivated historically;China;Shallow–medium;Low–medium;300–800 mm/yr; -5–35;High;Sandy loam;0.5;2;6;;;;;;
Sea grapes (Coccoloba uvifera — coastal fruit/forage);Cultivated;Caribbean & Americas;Shallow;Low–medium;800–2000 mm/yr;18–32;High;Sandy coastal;1;4;12;;;;;;
Blackcurrant (Ribes nigrum);Cultivated;Europe;Shallow–medium;Medium;600–1400 mm/yr;0–25;Medium;Loam;3;8;20;;;;;;
Gooseberry (Ribes uva-crispa);Cultivated;Europe/Asia;Shallow–medium;Medium;600–1200 mm/yr;0–25;Medium;Loam;2;6;15;;;;;;
Barberry (Berberis spp. — fruit/medicinal);Cultivated historically;Eurasia;Shallow;Low–medium;400–900 mm/yr; -5–30;High;Loam;0.5;2;6;;;;;;
Szechuan pepper (Zanthoxylum simulans / piperitum — spice);Cultivated;China;Shallow–medium;Low–medium;600–1200 mm/yr; -5–30;Medium;Loam;0.2;0.8;2;;;;;;
Oca (Oxalis tuberosa);~3000 BP;Andes (Peru/Bolivia);Shallow–medium;Medium;600–1500 mm/yr;2–20;Medium;Loam, well-drained;2;8;25;;;;;;
Ulluco (Ullucus tuberosus);Ancient;Andes;Shallow–medium;Medium;600–1500 mm/yr;2–20;Medium;Loam;2;7;20;;;;;;
Mashua (Tropaeolum tuberosum);Ancient;Andes;Shallow;Low–medium;600–1500 mm/yr;2–20;Medium;Sandy loam;1;5;15;;;;;;
Catnip (Nepeta cataria — medicinal/companion herb);Cultivated historically;Europe/Asia;Shallow;Low–medium;400–1000 mm/yr;5–30;High;Loam;0.5;2;6;;;;;;
Lovage (Levisticum officinale);Cultivated historically;Mediterranean;Deep;Medium;600–1200 mm/yr;5–25;Medium;Loam;1;4;12;;;;;;
Valerian (Valeriana officinalis — medicinal root);Cultivated historically;Europe/Asia;Deep;Medium;600–1400 mm/yr;0–25;Low–Medium;Loam, humus;0.2;0.8;2.5;;;;;;
Echinacea (Echinacea purpurea — medicinal);Cultivated;North America;Shallow–medium;Low–medium;600–1200 mm/yr; -5–30;Medium;Loam;0.2;0.8;2;;;;;;
Calendula (Calendula officinalis — medicinal/culinary);Cultivated historically;Mediterranean;Shallow;Low–medium;300–900 mm/yr;5–30;High;Loam;0.5;1.8;4.5;;;;;;
Rue (Ruta graveolens — medicinal/traditional);Cultivated historically;Mediterranean;Shallow;Low–medium;300–900 mm/yr;5–30;High;Rocky, well-drained;0.2;0.7;2;;;;;;
Safflower (Carthamus tinctorius — oil/dye);Domesticated;Mediterranean/West Asia;Shallow;Low–medium;300–800 mm/yr;5–35;High;Sandy loam;0.2;0.6;1.8;;;;;;
Salep / Orchis spp. (orchid tubers historically used as salep);Cultivated/foraged historically;Mediterranean/Asia;Shallow;Low–medium;600–1200 mm/yr;5–25;Low–Medium;Forest floor humus;0.01;0.05;0.2;;;;;;
Persian clover (Trifolium resupinatum — forage/cover);Cultivated historically;Middle East;Shallow;Medium;400–1000 mm/yr;0–30;Medium;Loam;2;6;20;;;;;;
Vetch (Vicia sativa — forage/green manure);Domesticated historically;Mediterranean;Shallow;Low–medium;400–1000 mm/yr;0–30;Medium;Loam;2;8;25;;;;;;
Fenugreek (Trigonella foenum-graecum — spice/legume);Domesticated;Mediterranean/Asia;Shallow;Low–medium;300–900 mm/yr;5–30;High;Loam;0.2;0.8;2;;;;;;
Ajwain / Carom (Trachyspermum ammi — spice);Cultivated;Indian subcontinent;Shallow;Low–medium;400–900 mm/yr;15–35;High;Loam;0.1;0.4;1.2;;;;;;
Bitter kola (Garcinia kola) (West African medicinal/nut);Cultivated/managed;West Africa;Shallow–medium;Medium;1200–2000 mm/yr;20–30;High;Loam;0.2;0.8;2.5;;;;;;
Cattail (Typha spp. — aquatic edible starch/biomass);Managed/foraged;Wetlands worldwide;Aquatic;Medium;1000–3000 mm/yr;0–35;High;Peaty, shallow water;5;20;60 (rhizome biomass);;;;;;
Lotus root (Nelumbo nucifera — aquatic tuber);Domesticated;Asia (China/India);Aquatic shallow;Medium–rich;1000–2500 mm/yr;10–30;High;Clayey, organic submerged soils;5;20;50;;;;;;
Water yam (Dioscorea alata) (additional yam species);Domesticated;Southeast Asia/Pacific;Medium–deep;Medium;1500–3000 mm/yr;18–30;High;Loam;5;15;40;;;;;;
Air potato (Dioscorea bulbifera — cultivated in some regions);Domesticated selections;Africa/Asia;Shallow–medium;Low–medium;800–2000 mm/yr;18–30;High;Loam;2;6;18;;;;;;
Cranberry (Vaccinium macrocarpon);Cultivated;North America;Shallow, acidic;Medium–rich (acidic);800–1400 mm/yr;0–25;Medium;Peaty, acidic soils;5;15;40;;;;;;
Cloudberry (Rubus chamaemorus);Managed;Circumboreal;Shallow, peaty;Low–medium;600–1200 mm/yr;-5–20;Low–Medium;Peat bogs;0.2;0.8;2.5;;;;;;
Barbados nut / Sea almond (Terminalia catappa — edible seeds in tropics);Cultivated;Tropics;Shallow–medium;Medium;1000–3000 mm/yr;18–32;High;Loam, coastal;0.5;2;6;;;;;;
Jamaican ackee (Blighia sapida — fruit, requires processing);Cultivated;West Africa/Caribbean;Shallow–medium;Medium;1200–2000 mm/yr;20–30;High;Loam;1;4;12;;;;;;
Brazil nut (Bertholletia excelsa);Wild-harvested/cultivated attempts;Amazon;Deep;High;2000–4000 mm/yr;20–32;High;Deep loam;0.2;0.6;2;;;;;;
Tung oil tree (Vernicia fordii — industrial oilseed);Cultivated historically;China;Deep;Medium;1000–2000 mm/yr;10–30;High;Loam;0.5;2;6;;;;;;
Chinese toon / Toona sinensis (leafy vegetable/tree);Cultivated;China;Deep;Medium;800–1500 mm/yr;0–30;Medium;Loam;1;4;12;;;;;;
Pokeweed (Phytolacca americana — traditional medicinal/food after processing);Managed historically;North America;Shallow;Medium;600–1200 mm/yr;0–30;High;Loam;0.2;0.8;2;;;;;;
Nipa palm (Nypa fruticans — cultivated for sugar, thatch);Managed;Southeast Asia;Shallow–deep (mangrove);Medium;1500–3000 mm/yr;20–30;High;Organic, waterlogged;2;8;25 (sap/thatched material);;;;;;
Sugar palm (Arenga pinnata — sago/sugar production);Cultivated;Southeast Asia;Deep;Medium;1500–3000 mm/yr;18–30;High;Loam;2;8;25;;;;;;
Sago palm (Metroxylon sagu — starch from trunk);Cultivated;New Guinea/SE Asia;Deep;Low–medium;2000–4000 mm/yr;20–30;High;Peaty, swampy;5;20;60 (starch);;;;;;
Kernza / Intermediate wheatgrass (Thinopyrum intermedium — perennial grain under domestication);Modern domestication;North America;Deep;Medium;400–1000 mm/yr; -5–30;Medium;Loam;0.1;0.5;1.5 (experimental);;;;;;
Perennial rice (wild/domestication attempts Oryza spp.);Traditional/modern breeding;Asia/Africa;Shallow–medium;Medium;800–2000 mm/yr;15–30;High;Clay loam;0.2;0.8;2.5 (experimental);;;;;;
Seaweed — Kelp (Laminaria spp. — industrial/food);Cultivated historically;Cold temperate coasts;Aquatic;High nutrients (marine);High;0–20;High;Marine substrates;10;50;200 (wet t/ha);;;;;;
Seaweed — Nori / Porphyra (Porphyra/Pyropia spp.);Cultivated;East Asia;Aquatic;High nutrients;High;0–25;High;Marine structures;5;20;80;;;;;;
Spirulina (Arthrospira spp. — cultivated microalgae);Cultivated modern;Africa/Mesoamerica/Asia;Aquatic shallow;High nutrients;High (controlled);30–40;High;Alkaline shallow ponds;5;20;100 (dry biomass t/ha per year high variability);;;;;;
Duckweed (Lemna spp. — protein/biomass cultivation);Cultivated modern;Worldwide;Aquatic shallow;High nutrients;High;10–30;High;Eutrophic ponds;10;40;120 (fresh biomass);;;;;;
Maguey (Agave americana — fiber, pulque production);Domesticated historically;Mexico;Shallow–medium;Low–medium;400–1200 mm/yr;15–30;High;Sandy, rocky;4;12;30;;;;;;
Huitlacoche cultivation (Ustilago maydis on corn — culinary fungus);Managed;Mesoamerica;N/A (pathogen on maize);Dependent on host;Dependent on climate;15–30;Medium;Maize fields;0.1;0.5;2.0 (edible fungus);;;;;;
Kombucha SCOBY (Symbiotic culture of bacteria and yeast — fermented beverage);Cultivated modern;Worldwide;N/A (fermentation);High nutrient substrate;Controlled;20–30;Low light;Fermentation vessels;0.01;0.05;0.2 (product mass per batch);;;;;;
Tea alternatives — Rooibos (Aspalathus linearis);Cultivated;South Africa;Shallow;Low–medium;300–800 mm/yr;5–30;High;Sandy, acidic soils;0.2;0.8;2.5;;;;;;
Honeybush (Cyclopia spp. — beverage plant);Cultivated;South Africa;Shallow;Low–medium;400–1000 mm/yr;5–30;High;Sandy, acidic;0.1;0.4;1.2;;;;;;
Mastic (Pistacia lentiscus — resin);Cultivated historically;Mediterranean;Shallow–medium;Low–medium;300–700 mm/yr;5–35;High;Stony soils;0.05;0.2;1.0 (resin);;;;;;
Alder (Alnus spp. — nitrogen-fixing, coppice, charcoal);Managed/cultivated;Northern Hemisphere;Medium–deep;Medium;600–1400 mm/yr; -5–30;Medium;Loam, moist soils;5;20;60 (wood biomass);;;;;;
Black locust (Robinia pseudoacacia — agroforestry, fodder, timber);Cultivated;North America;Deep;Medium;600–1400 mm/yr; -5–35;High;Loam;5;25;80;;;;;;
Lorikeet / native honey plants (Eucalyptus spp. selected for nectar production);Cultivated;Australia;Deep;Low–medium;400–1400 mm/yr;5–40;High;Sandy loam;2;8;30 (honey potential per ha varies);;;;;;
Tamarillo / Tree tomato (Solanum betaceum);Cultivated;Andes;Shallow–medium;Medium;800–2000 mm/yr;8–24;High;Loam;6;18;50;;;;;;
Caper (Capparis spinosa);Cultivated historically;Mediterranean;Shallow;Low–medium;200–600 mm/yr;5–35;High;Rocky, calcareous;0.5;2;6;;;;;;
Prickly pear / Opuntia (Opuntia ficus-indica — fruit, fodder, cochineal);Domesticated;Mexico;Shallow;Low;200–800 mm/yr;10–40;High;Sandy, rocky;5;15;50;;;;;;
Nopal (edible cactus pads same species);Cultivated;Mexico;Shallow;Low;200–800 mm/yr;10–40;High;Sandy;5;20;60;;;;;;
Barley grass (forage/human green powders) (Hordeum vulgare sprouts cultivated);Cultivated;Worldwide;N/A (sprouts/shallow);High nutrient substrate;Controlled;10–30;Low–High;Growing media;1;3;10 (green biomass);;;;;;
Sugarcane relatives — miscanthus (Miscanthus × giganteus — biomass crop domesticated/selected);Modern breeding;Asia/Europe;Deep;Medium;600–1200 mm/yr;5–30;High;Loam;10;30;80 (dry biomass);;;;;;
Switchgrass (Panicum virgatum — bioenergy perennial);Selected/domestication efforts;North America;Deep;Low–medium;400–1200 mm/yr; -10–35;High;Loam;5;20;60 (dry biomass);;;;;;
Silphium (Silphium integrifolium — perennial oilseed under domestication);Modern domestication;North America;Deep;Medium;400–1200 mm/yr; -5–35;High;Loam;0.1;0.6;2.0 (experimental);;;;;;
Perennial sunflower relatives (Helianthus spp. being domesticated);Modern;North America;Deep;Medium;400–1000 mm/yr; -5–35;High;Loam;0.1;0.7;2.5 (experimental);;;;;;
Broomcorn / Sorghum bicolor var. technicum (grain/syrup/domesticates);Cultivated historically;Africa;Shallow–medium;Low–medium;300–900 mm/yr;15–35;High;Loam;0.5;1.8;4.5;;;;;;
Grain amaranth species (Amaranthus caudatus, A. cruentus, A. hypochondriacus) (listed general earlier but adding grain-specific yields);Domesticated;Americas;Shallow–medium;Low–medium;400–1200 mm/yr;15–30;High;Loam;0.2;0.9;3;;;;;;
Sunberry / Wonderberry (Solanum retroflexum — cultivated African eggplant relative);Cultivated selections;Africa;Shallow;Medium;600–1200 mm/yr;15–30;High;Loam;2;6;18;;;;;;
African cucumber (Cucumis metuliferus — kiwano relative cultivated in Africa);Cultivated;Africa;Shallow;Medium;600–1200 mm/yr;15–30;High;Loam;3;8;25;;;;;;
Bolivian coriander / culantro (Eryngium foetidum) (leafy herb);Cultivated;Americas/Caribbean;Shallow;Medium;800–2000 mm/yr;18–32;High;Loam;3;10;30;;;;;;
Millettia pinnata / Pongamia (Pongamia pinnata — oilseed tree);Cultivated;Asia;Deep;Low–medium;800–2000 mm/yr;15–35;High;Loam;1;4;10 (seed);;;;;;
Yuzu (Citrus junos — citrus cultivar);Cultivated;East Asia;Shallow–medium;Medium;800–1500 mm/yr;0–35;High;Loam;6;15;30;;;;;;
Kiwifruit (Actinidia deliciosa/actinidia chinensis);Domesticated;China;Deep;Medium–rich;800–1500 mm/yr;5–30;Medium;Loam;8;20;50;;;;;;
Cape gooseberry / Physalis peruviana;Domesticated;Andes;Shallow–medium;Medium;800–2000 mm/yr;10–30;High;Loam;2;6;18;;;;;;
Tomatillo (Physalis philadelphica);Domesticated;Mexico;Shallow;Medium;600–1500 mm/yr;10–30;High;Loam;5;15;40;;;;;;
Amomum / galangal relatives (Alpinia galanga — spice);Cultivated;Southeast Asia;Shallow;High;1200–2500 mm/yr;20–32;High;Loam;3;8;20;;;;;;
Black cardamom (Amomum subulatum);Cultivated;Himalayan region;Shallow;High;1500–3000 mm/yr;8–25;Low–Medium;Loam, forest soils;0.2;0.8;2;;;;;;
Blue pea / Butterfly pea (Clitoria ternatea — dye/protein);Cultivated;South/Southeast Asia;Shallow;Low–medium;800–2000 mm/yr;18–30;High;Loam;0.2;0.8;2;;;;;;
Madrone (Arbutus menziesii — traditional edible/medicinal uses, managed);Managed;Pacific NW;Shallow–medium;Low–medium;800–2000 mm/yr; -5–25;Medium;Loam;0.2;0.8;2;;;;;;
Tindora / Coccinia grandis (ivy gourd);Cultivated;Asia/Africa;Shallow;Medium;800–2000 mm/yr;18–32;High;Loam;3;8;25;;;;;;
African eggplant (Solanum aethiopicum);Domesticated;Africa;Shallow;Medium;800–2000 mm/yr;18–32;High;Loam;2;6;20;;;;;;
Garden huckleberry (Solanum scabrum — African leafy/fruit);Cultivated;Africa;Shallow;Medium;800–2000 mm/yr;18–32;High;Loam;2;6;18;;;;;;
Aronia / Chokeberry (Aronia melanocarpa — cultivated medicinal/berry);Cultivated;North America;Shallow–medium;Medium;600–1400 mm/yr; -20–30;Medium;Loam;2;6;15;;;;;;
Mountain pepper / Tasmanian pepperberry (Tasmannia lanceolata — spice);Cultivated;Australia;Shallow–medium;Medium;800–1600 mm/yr;5–25;Medium;Loam;0.1;0.4;1.2;;;;;;
Elaeagnus / Autumn olive (Elaeagnus umbellata — edible/medicinal, nitrogen-fixing);Cultivated/managed;Asia;Shallow–medium;Low–medium;400–1000 mm/yr; -10–30;High;Sandy loam;0.5;2;6;;;;;;
Hawthorn (Crataegus spp. — fruit/medicinal);Managed;Eurasia/North America;Shallow–medium;Low–medium;400–1000 mm/yr; -10–30;High;Loam;0.5;2;6;;;;;;
